Id,Games,City,Sport,Event,Medal
5563,2012 Summer,London,Athletics,"Athletics Women's 5,000 metres",NA
5564,2012 Summer,London,Athletics,"Athletics Women's 10,000 metres",NA
5565,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's Marathon,NA
5566,2004 Summer,Athina,Boxing,Boxing Men's Featherweight,NA
5567,2000 Summer,Sydney,Athletics,Athletics Men's 100 metres,NA
5568,2000 Summer,Sydney,Athletics,Athletics Men's 200 metres,NA
5569,2000 Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,NA
5570,2004 Summer,Athina,Athletics,Athletics Men's 200 metres,NA
5571,2000 Summer,Sydney,Athletics,Athletics Women's Hammer Throw,NA
5572,2004 Summer,Athina,Athletics,Athletics Women's Hammer Throw,NA
5573,2008 Summer,Beijing,Athletics,Athletics Women's Hammer Throw,NA
5574,1992 Winter,Albertville,Alpine Skiing,Alpine Skiing Women's Super G,NA
5575,1992 Winter,Albertville,Alpine Skiing,Alpine Skiing Women's Giant Slalom,NA
5576,1960 Summer,Roma,Athletics,"Athletics Men's 3,000 metres Steeplechase",NA
5577,1984 Summer,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,NA
5578,1998 Winter,Nagano,Alpine Skiing,Alpine Skiing Men's Super G,NA
5579,1998 Winter,Nagano,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
5580,1998 Winter,Nagano,Alpine Skiing,Alpine Skiing Men's Combined,NA
5581,2000 Summer,Sydney,Boxing,Boxing Men's Super-Heavyweight,NA
5582,1984 Summer,Los Angeles,Boxing,Boxing Men's Heavyweight,NA
5583,1996 Summer,Atlanta,Athletics,Athletics Women's 100 metres,NA
5584,1996 Summer,Atlanta,Athletics,Athletics Women's 4 x 100 metres Relay,NA
5585,2000 Summer,Sydney,Athletics,Athletics Women's 4 x 100 metres Relay,NA
5586,1956 Winter,Cortina d'Ampezzo,Alpine Skiing,Alpine Skiing Men's Downhill,NA
5587,1960 Winter,Squaw Valley,Alpine Skiing,Alpine Skiing Men's Downhill,NA
5588,1960 Winter,Squaw Valley,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
5589,1960 Winter,Squaw Valley,Alpine Skiing,Alpine Skiing Men's Slalom,NA
5590,1964 Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
5591,1964 Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Slalom,NA
5592,1964 Summer,Tokyo,Athletics,Athletics Men's 50 kilometres Walk,NA
5593,1960 Summer,Roma,Athletics,Athletics Men's Decathlon,NA
5594,2004 Summer,Athina,Athletics,"Athletics Men's 5,000 metres",NA
5595,2012 Summer,London,Athletics,Athletics Women's Heptathlon,NA
5596,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's Heptathlon,NA
5597,1980 Summer,Moskva,Athletics,Athletics Men's Decathlon,NA
5598,2000 Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
5599,2006 Winter,Torino,Alpine Skiing,Alpine Skiing Men's Slalom,NA
5600,2006 Winter,Torino,Alpine Skiing,Alpine Skiing Men's Combined,NA
5601,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,NA
5602,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,NA
5603,1956 Summer,Melbourne,Athletics,Athletics Women's Discus Throw,NA
5604,1956 Summer,Melbourne,Athletics,Athletics Women's Javelin Throw,NA
5605,1960 Summer,Roma,Athletics,Athletics Women's Javelin Throw,NA
5606,1996 Summer,Atlanta,Athletics,Athletics Men's 400 metres Hurdles,NA
5607,1984 Winter,Sarajevo,Alpine Skiing,Alpine Skiing Men's Downhill,NA
5608,1968 Summer,Mexico City,Athletics,Athletics Men's 400 metres Hurdles,NA
5609,1968 Summer,Mexico City,Athletics,Athletics Men's 4 x 400 metres Relay,NA
5610,1972 Summer,Munich,Athletics,Athletics Men's Decathlon,NA
5611,2012 Summer,London,Athletics,Athletics Men's Discus Throw,NA
5612,1952 Summer,Helsinki,Boxing,Boxing Men's Flyweight,Gold
5613,2008 Summer,Beijing,Athletics,Athletics Women's 4 x 100 metres Relay,NA
5614,2012 Summer,London,Athletics,Athletics Women's Shot Put,NA
5615,1968 Summer,Mexico City,Athletics,Athletics Men's Long Jump,NA
5616,1968 Summer,Mexico City,Athletics,"Athletics Men's 3,000 metres Steeplechase",NA
5617,1996 Summer,Atlanta,Athletics,Athletics Men's 20 kilometres Walk,NA
5618,1980 Summer,Moskva,Athletics,Athletics Men's 200 metres,NA
5619,1980 Summer,Moskva,Athletics,Athletics Men's 4 x 400 metres Relay,NA
5620,1952 Summer,Helsinki,Athletics,Athletics Women's 100 metres,NA
5621,1952 Summer,Helsinki,Athletics,Athletics Women's 200 metres,Silver
5622,1952 Summer,Helsinki,Athletics,Athletics Women's 4 x 100 metres Relay,NA
5623,1972 Summer,Munich,Athletics,Athletics Men's Shot Put,NA
5624,1976 Summer,Montreal,Athletics,Athletics Men's Shot Put,NA
5625,2012 Summer,London,Athletics,Athletics Men's 200 metres,NA
5626,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,NA
5627,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's 200 metres,NA
5628,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
5629,1984 Summer,Los Angeles,Athletics,Athletics Women's 100 metres,Silver
5630,1984 Summer,Los Angeles,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
5631,1988 Summer,Seoul,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
5632,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's 400 metres,NA
5633,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay,NA
5634,1960 Summer,Roma,Athletics,Athletics Women's High Jump,NA
5635,1976 Summer,Montreal,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
5636,1964 Summer,Tokyo,Boxing,Boxing Men's Featherweight,Bronze
5637,2000 Summer,Sydney,Athletics,Athletics Men's 400 metres,NA
5638,2000 Summer,Sydney,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
5639,2004 Summer,Athina,Athletics,Athletics Men's 400 metres,NA
5640,2004 Summer,Athina,Athletics,Athletics Men's 4 x 400 metres Relay,NA
5641,2008 Summer,Beijing,Athletics,Athletics Men's 400 metres,NA
5642,2008 Summer,Beijing,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
5643,2012 Summer,London,Athletics,Athletics Men's 400 metres,NA
5644,2012 Summer,London,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
5645,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's 400 metres,NA
5646,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
5647,1988 Summer,Seoul,Athletics,Athletics Men's 200 metres,NA
5648,1992 Summer,Barcelona,Boxing,Boxing Men's Light-Heavyweight,NA
5649,2004 Summer,Athina,Athletics,Athletics Men's 4 x 100 metres Relay,NA
5650,2008 Summer,Beijing,Athletics,Athletics Men's 100 metres,NA
5651,1976 Summer,Montreal,Athletics,Athletics Women's High Jump,NA
5652,1968 Summer,Mexico City,Athletics,Athletics Women's 800 metres,NA
5653,1972 Summer,Munich,Athletics,"Athletics Men's 3,000 metres Steeplechase",NA
5654,1976 Summer,Montreal,Athletics,"Athletics Men's 3,000 metres Steeplechase",NA
5655,1956 Summer,Melbourne,Athletics,Athletics Women's Shot Put,NA
5656,1956 Summer,Melbourne,Athletics,Athletics Women's Discus Throw,NA
5657,1960 Summer,Roma,Athletics,Athletics Women's Shot Put,Bronze
5658,1960 Summer,Roma,Athletics,Athletics Women's Discus Throw,NA
5659,1964 Summer,Tokyo,Athletics,Athletics Women's Shot Put,NA
5660,1952 Summer,Helsinki,Boxing,Boxing Men's Featherweight,NA
5661,1980 Summer,Moskva,Boxing,Boxing Men's Featherweight,NA
5662,1960 Winter,Squaw Valley,Alpine Skiing,Alpine Skiing Men's Slalom,NA
5663,1952 Summer,Helsinki,Athletics,Athletics Men's Long Jump,NA
5664,1992 Summer,Barcelona,Boxing,Boxing Men's Middleweight,NA
5665,1996 Summer,Atlanta,Athletics,"Athletics Men's 10,000 metres",NA
5666,2000 Summer,Sydney,Athletics,Athletics Men's Marathon,NA
5667,2004 Summer,Athina,Athletics,Athletics Men's Marathon,NA
5668,1984 Summer,Los Angeles,Athletics,Athletics Women's 400 metres Hurdles,Silver
5669,1984 Summer,Los Angeles,Athletics,Athletics Women's Marathon,NA
5670,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,NA
5671,2014 Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
5672,2014 Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Slalom,NA
5673,1984 Summer,Los Angeles,Athletics,Athletics Men's 400 metres,NA
5674,1984 Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
5675,1988 Summer,Seoul,Athletics,Athletics Men's 4 x 400 metres Relay,NA
5676,1968 Summer,Mexico City,Athletics,Athletics Men's High Jump,NA
5677,1972 Summer,Munich,Athletics,Athletics Women's Javelin Throw,NA
5678,1984 Summer,Los Angeles,Athletics,Athletics Men's 100 metres,NA
5679,1984 Summer,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
5680,1968 Summer,Mexico City,Athletics,Athletics Women's 400 metres,NA
5681,2004 Summer,Athina,Athletics,Athletics Women's 4 x 100 metres Relay,NA
5682,1964 Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Downhill,NA
5683,1964 Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
5684,1964 Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Slalom,NA
5685,2000 Summer,Sydney,Athletics,Athletics Men's 110 metres Hurdles,NA
5686,2012 Summer,London,Athletics,Athletics Women's 400 metres Hurdles,NA
5687,1964 Summer,Tokyo,Athletics,Athletics Women's High Jump,NA
5688,1964 Summer,Tokyo,Athletics,Athletics Women's 200 metres,NA
5689,1988 Summer,Seoul,Athletics,Athletics Women's Heptathlon,NA
5690,2004 Summer,Athina,Athletics,Athletics Women's Discus Throw,NA
5691,2008 Summer,Beijing,Athletics,Athletics Women's Discus Throw,Gold
5692,2012 Summer,London,Athletics,Athletics Women's Discus Throw,NA
5693,1984 Summer,Los Angeles,Athletics,Athletics Men's 400 metres,NA
5694,1984 Summer,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,NA
5695,1984 Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,NA
5696,1988 Summer,Seoul,Athletics,Athletics Men's 400 metres,NA
5697,1988 Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,NA
5698,1988 Summer,Seoul,Athletics,Athletics Men's 4 x 400 metres Relay,NA
5699,2004 Summer,Athina,Athletics,"Athletics Men's 10,000 metres",NA
5700,2004 Summer,Athina,Athletics,Athletics Men's Marathon,NA
5701,1988 Summer,Seoul,Athletics,Athletics Men's Long Jump,NA
5702,2012 Summer,London,Boxing,Boxing Men's Light-Heavyweight,NA
5703,2000 Summer,Sydney,Athletics,Athletics Men's 800 metres,NA
5704,1996 Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,NA
5705,2000 Summer,Sydney,Athletics,Athletics Men's 200 metres,NA
5706,2000 Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,NA
5707,2004 Summer,Athina,Athletics,Athletics Men's 100 metres,NA
5708,2004 Summer,Athina,Athletics,Athletics Men's 4 x 100 metres Relay,NA
5709,2008 Summer,Beijing,Athletics,Athletics Men's 100 metres,NA
5710,2008 Summer,Beijing,Athletics,Athletics Men's 4 x 100 metres Relay,NA
5711,1984 Summer,Los Angeles,Athletics,Athletics Women's High Jump,NA
5712,1988 Summer,Seoul,Athletics,Athletics Women's High Jump,NA
5713,1996 Summer,Atlanta,Athletics,Athletics Men's High Jump,NA
5714,1952 Summer,Helsinki,Athletics,Athletics Men's 100 metres,NA
5715,1952 Summer,Helsinki,Athletics,Athletics Men's 200 metres,NA
5716,1952 Summer,Helsinki,Athletics,Athletics Men's 4 x 100 metres Relay,NA
5717,1972 Summer,Munich,Athletics,Athletics Men's Long Jump,NA
5718,1972 Summer,Munich,Athletics,Athletics Women's High Jump,NA
5719,1976 Summer,Montreal,Athletics,Athletics Women's Pentathlon,NA
5720,1980 Summer,Moskva,Athletics,Athletics Men's 200 metres,NA
5721,1980 Summer,Moskva,Athletics,Athletics Men's 4 x 100 metres Relay,NA
5722,1948 Summer,London,Athletics,Athletics Men's 4 x 100 metres Relay,NA
5723,1948 Summer,London,Athletics,Athletics Men's Long Jump,Silver
5724,1976 Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Slalom,NA
5725,1956 Summer,Melbourne,Athletics,Athletics Men's Long Jump,NA
5726,1956 Summer,Melbourne,Athletics,Athletics Men's Decathlon,NA
5727,1968 Summer,Mexico City,Athletics,Athletics Men's Discus Throw,NA
5728,1972 Summer,Munich,Athletics,Athletics Men's Discus Throw,Bronze
5729,1976 Summer,Montreal,Athletics,Athletics Men's Discus Throw,NA
5730,2016 Summer,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",NA
5731,1960 Summer,Roma,Athletics,Athletics Men's 4 x 400 metres Relay,NA
5732,1988 Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Super G,NA
5733,1988 Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
5734,1988 Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Slalom,NA
5735,1988 Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Super G,NA
5736,1988 Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
5737,1988 Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Slalom,NA
5738,1972 Summer,Munich,Athletics,Athletics Men's 400 metres Hurdles,NA
5739,1964 Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
5740,1968 Winter,Grenoble,Alpine Skiing,Alpine Skiing Men's Downhill,NA
5741,1968 Winter,Grenoble,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
5742,1972 Winter,Sapporo,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Silver
5743,1972 Winter,Sapporo,Alpine Skiing,Alpine Skiing Men's Slalom,NA
5744,2000 Summer,Sydney,Athletics,Athletics Men's 50 kilometres Walk,NA
5745,2004 Summer,Athina,Athletics,Athletics Men's 20 kilometres Walk,Gold
5746,2008 Summer,Beijing,Athletics,Athletics Men's 20 kilometres Walk,NA
5747,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,NA
5748,1948 Summer,London,Athletics,Athletics Women's Shot Put,NA
5749,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's Long Jump,NA
5750,1960 Summer,Roma,Athletics,Athletics Men's High Jump,Silver
5751,1964 Summer,Tokyo,Athletics,Athletics Men's High Jump,Gold
5752,1984 Summer,Los Angeles,Athletics,Athletics Men's 400 metres Hurdles,NA
5753,1960 Winter,Squaw Valley,Alpine Skiing,Alpine Skiing Men's Downhill,NA
5754,1960 Winter,Squaw Valley,Alpine Skiing,Alpine Skiing Men's Slalom,NA
5755,1992 Summer,Barcelona,Athletics,Athletics Men's 400 metres Hurdles,NA
5756,1960 Winter,Squaw Valley,Alpine Skiing,Alpine Skiing Men's Downhill,NA
5757,1960 Winter,Squaw Valley,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
5758,1960 Winter,Squaw Valley,Alpine Skiing,Alpine Skiing Men's Slalom,NA
5759,1964 Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Downhill,NA
5760,1964 Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
5761,1964 Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Slalom,NA
5762,1988 Summer,Seoul,Athletics,"Athletics Women's 3,000 metres",NA
5763,1992 Summer,Barcelona,Athletics,"Athletics Women's 3,000 metres",NA
5764,1996 Summer,Atlanta,Athletics,"Athletics Women's 5,000 metres",Bronze
5765,2000 Summer,Sydney,Athletics,"Athletics Women's 5,000 metres",NA
5766,2004 Summer,Athina,Boxing,Boxing Men's Bantamweight,NA
5767,1996 Summer,Atlanta,Athletics,Athletics Women's Long Jump,NA
5768,2000 Summer,Sydney,Athletics,Athletics Women's Long Jump,NA
5769,1988 Summer,Seoul,Athletics,Athletics Men's Discus Throw,NA
5770,1956 Summer,Melbourne,Athletics,Athletics Men's 4 x 100 metres Relay,NA
5771,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,NA
5772,1984 Summer,Los Angeles,Boxing,Boxing Men's Welterweight,Bronze
5773,1960 Winter,Squaw Valley,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
5774,1964 Summer,Tokyo,Boxing,Boxing Men's Light-Middleweight,NA
5775,1972 Winter,Sapporo,Alpine Skiing,Alpine Skiing Women's Giant Slalom,NA
5776,1972 Winter,Sapporo,Alpine Skiing,Alpine Skiing Women's Slalom,NA
5777,1992 Summer,Barcelona,Athletics,"Athletics Men's 3,000 metres Steeplechase",NA
5778,1996 Summer,Atlanta,Athletics,"Athletics Men's 1,500 metres",NA
5779,1972 Summer,Munich,Athletics,Athletics Men's Marathon,NA
5780,1948 Summer,London,Athletics,Athletics Men's 50 kilometres Walk,NA
5781,1952 Summer,Helsinki,Athletics,Athletics Men's 50 kilometres Walk,NA
5782,2000 Summer,Sydney,Athletics,Athletics Men's 50 kilometres Walk,NA
5783,1996 Summer,Atlanta,Athletics,Athletics Men's 400 metres Hurdles,NA
5784,1992 Summer,Barcelona,Athletics,Athletics Men's Triple Jump,NA
5785,1972 Summer,Munich,Athletics,Athletics Women's Long Jump,NA
5786,1972 Summer,Munich,Athletics,Athletics Women's Pentathlon,NA
5787,1976 Summer,Montreal,Athletics,Athletics Women's Long Jump,NA
5788,1976 Summer,Montreal,Athletics,Athletics Women's Pentathlon,NA
5789,1984 Summer,Los Angeles,Athletics,Athletics Women's 800 metres,NA
5790,1984 Summer,Los Angeles,Athletics,"Athletics Women's 1,500 metres",NA
5791,1984 Summer,Los Angeles,Athletics,Athletics Women's 4 x 400 metres Relay,NA
5792,1988 Summer,Seoul,Athletics,Athletics Women's 800 metres,NA
5793,1988 Summer,Seoul,Athletics,"Athletics Women's 1,500 metres",NA
5794,1968 Summer,Mexico City,Athletics,"Athletics Men's 3,000 metres Steeplechase",NA
5795,1976 Summer,Montreal,Athletics,Athletics Women's 400 metres,NA
5796,1976 Summer,Montreal,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
5797,1972 Summer,Munich,Athletics,Athletics Men's Pole Vault,NA
5798,2002 Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Women's Giant Slalom,NA
5799,2002 Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Women's Slalom,NA
5800,2006 Winter,Torino,Alpine Skiing,Alpine Skiing Women's Downhill,NA
5801,2006 Winter,Torino,Alpine Skiing,Alpine Skiing Women's Super G,NA
5802,2006 Winter,Torino,Alpine Skiing,Alpine Skiing Women's Combined,NA
5803,2010 Winter,Vancouver,Alpine Skiing,Alpine Skiing Women's Downhill,NA
5804,2010 Winter,Vancouver,Alpine Skiing,Alpine Skiing Women's Super G,NA
5805,2010 Winter,Vancouver,Alpine Skiing,Alpine Skiing Women's Combined,NA
5806,1980 Summer,Moskva,Athletics,Athletics Men's 110 metres Hurdles,NA
5807,1984 Summer,Los Angeles,Athletics,Athletics Men's 110 metres Hurdles,Bronze
5808,1992 Summer,Barcelona,Athletics,Athletics Men's 110 metres Hurdles,NA
5809,1948 Summer,London,Athletics,Athletics Men's Pole Vault,NA
5810,1952 Summer,Helsinki,Athletics,Athletics Men's Pole Vault,NA
5811,1948 Winter,Sankt Moritz,Alpine Skiing,Alpine Skiing Men's Downhill,NA
5812,1948 Winter,Sankt Moritz,Alpine Skiing,Alpine Skiing Men's Combined,NA
5813,1968 Winter,Grenoble,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
5814,1968 Winter,Grenoble,Alpine Skiing,Alpine Skiing Men's Slalom,NA
5815,1998 Winter,Nagano,Alpine Skiing,Alpine Skiing Men's Slalom,NA
5816,1948 Summer,London,Athletics,Athletics Men's 800 metres,NA
5817,1988 Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
5818,1988 Summer,Seoul,Athletics,Athletics Women's 400 metres,Gold
5819,1988 Summer,Seoul,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
5820,1992 Summer,Barcelona,Athletics,Athletics Women's 400 metres,Silver
5821,1992 Summer,Barcelona,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
5822,2012 Summer,London,Athletics,Athletics Women's 200 metres,NA
5823,2012 Summer,London,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
5824,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's 200 metres,NA
5825,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,NA
5826,1992 Summer,Barcelona,Athletics,"Athletics Women's 1,500 metres",NA
5827,1996 Summer,Atlanta,Athletics,"Athletics Women's 1,500 metres",NA
5828,2008 Summer,Beijing,Athletics,Athletics Men's 50 kilometres Walk,NA
5829,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's 20 kilometres Walk,NA
5830,1984 Summer,Los Angeles,Athletics,Athletics Women's 200 metres,NA
5831,1984 Summer,Los Angeles,Athletics,Athletics Women's 400 metres,NA
5832,1992 Summer,Barcelona,Athletics,Athletics Men's 800 metres,NA
5833,2016 Summer,Rio de Janeiro,Boxing,Boxing Men's Light-Heavyweight,Bronze
5834,2012 Summer,London,Athletics,Athletics Men's 800 metres,NA
5835,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's 800 metres,NA
5836,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's High Jump,NA
5837,1988 Summer,Seoul,Athletics,Athletics Men's Pole Vault,Gold
5838,1992 Summer,Barcelona,Athletics,Athletics Men's Pole Vault,NA
5839,2000 Summer,Sydney,Athletics,Athletics Men's Pole Vault,NA
5840,1996 Summer,Atlanta,Athletics,Athletics Men's Pole Vault,NA
5841,2004 Summer,Athina,Athletics,"Athletics Men's 3,000 metres Steeplechase",NA
5842,2008 Summer,Beijing,Athletics,"Athletics Men's 3,000 metres Steeplechase",NA
5843,2008 Summer,Beijing,Athletics,Athletics Men's 400 metres,NA
5844,1976 Summer,Montreal,Athletics,Athletics Men's 20 kilometres Walk,NA
5845,1952 Summer,Helsinki,Athletics,Athletics Women's 100 metres,NA
5846,1952 Summer,Helsinki,Athletics,Athletics Women's 4 x 100 metres Relay,NA
5847,1976 Summer,Montreal,Athletics,Athletics Men's Long Jump,NA
5848,1960 Summer,Roma,Athletics,Athletics Men's Decathlon,NA
5849,1964 Summer,Tokyo,Athletics,Athletics Men's Decathlon,NA
5850,1948 Summer,London,Athletics,Athletics Men's Decathlon,NA
5851,1992 Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Super G,NA
5852,1992 Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
5853,1994 Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Downhill,NA
5854,1994 Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Super G,NA
5855,1994 Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
5856,1994 Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Combined,NA
5857,1998 Winter,Nagano,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
5858,2002 Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Downhill,NA
5859,2002 Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Super G,NA
5860,2002 Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
5861,2006 Winter,Torino,Alpine Skiing,Alpine Skiing Men's Downhill,NA
5862,2006 Winter,Torino,Alpine Skiing,Alpine Skiing Men's Super G,NA
5863,2006 Winter,Torino,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
5864,2010 Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Downhill,NA
5865,2010 Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Super G,NA
5866,1984 Summer,Los Angeles,Athletics,Athletics Men's 100 metres,NA
5867,1984 Summer,Los Angeles,Athletics,Athletics Men's 200 metres,NA
5868,1988 Summer,Seoul,Athletics,Athletics Men's 100 metres,NA
5869,1988 Summer,Seoul,Athletics,Athletics Men's 200 metres,NA
5870,1988 Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Downhill,NA
5871,1988 Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Super G,NA
5872,1988 Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
5873,1988 Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Combined,NA
5874,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's 800 metres,NA
5875,1996 Summer,Atlanta,Athletics,Athletics Men's 800 metres,NA
5876,2000 Summer,Sydney,Athletics,Athletics Men's 800 metres,NA
5877,2000 Summer,Sydney,Athletics,Athletics Men's 4 x 400 metres Relay,NA
5878,2004 Summer,Athina,Athletics,Athletics Men's 800 metres,NA
5879,1972 Summer,Munich,Athletics,"Athletics Men's 3,000 metres Steeplechase",NA
5880,1952 Summer,Helsinki,Boxing,Boxing Men's Light-Middleweight,NA
5881,1960 Summer,Roma,Boxing,Boxing Men's Middleweight,NA
5882,1992 Summer,Barcelona,Athletics,"Athletics Men's 3,000 metres Steeplechase",NA
5883,2000 Summer,Sydney,Athletics,Athletics Men's Marathon,NA
5884,2004 Summer,Athina,Athletics,Athletics Men's Marathon,NA
5885,2008 Summer,Beijing,Athletics,Athletics Women's Pole Vault,NA
5886,2012 Summer,London,Athletics,Athletics Women's Pole Vault,NA
5887,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's Pole Vault,NA
5888,1952 Winter,Oslo,Alpine Skiing,Alpine Skiing Women's Downhill,Silver
5889,1952 Winter,Oslo,Alpine Skiing,Alpine Skiing Women's Giant Slalom,Bronze
5890,1952 Winter,Oslo,Alpine Skiing,Alpine Skiing Women's Slalom,Bronze
5891,1956 Winter,Cortina d'Ampezzo,Alpine Skiing,Alpine Skiing Women's Downhill,NA
5892,1956 Winter,Cortina d'Ampezzo,Alpine Skiing,Alpine Skiing Women's Giant Slalom,NA
5893,1956 Winter,Cortina d'Ampezzo,Alpine Skiing,Alpine Skiing Women's Slalom,NA
5894,2004 Summer,Athina,Athletics,Athletics Men's Pole Vault,NA
5895,1972 Summer,Munich,Athletics,Athletics Men's Pole Vault,NA
5896,1976 Summer,Montreal,Athletics,Athletics Men's Pole Vault,NA
5897,1996 Summer,Atlanta,Athletics,Athletics Men's Pole Vault,NA
5898,2004 Summer,Athina,Athletics,Athletics Men's Pole Vault,NA
5899,2000 Summer,Sydney,Athletics,Athletics Men's 100 metres,NA
5900,2000 Summer,Sydney,Athletics,Athletics Men's 200 metres,NA
5901,2000 Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,NA
5902,2004 Summer,Athina,Athletics,Athletics Men's 200 metres,NA
5903,2008 Summer,Beijing,Athletics,Athletics Men's 200 metres,NA
5904,2008 Summer,Beijing,Athletics,Athletics Men's 400 metres Hurdles,NA
5905,2012 Summer,London,Athletics,"Athletics Women's 1,500 metres",NA
5906,2016 Summer,Rio de Janeiro,Athletics,"Athletics Women's 1,500 metres",NA
