Id,Games,City,Sport,Event,Medal
41085,2008 Summer,Beijing,Athletics,Athletics Women's 20 kilometres Walk,NA
41086,1992 Summer,Barcelona,Athletics,Athletics Men's Marathon,NA
41087,1948 Winter,Sankt Moritz,Alpine Skiing,Alpine Skiing Men's Downhill,NA
41088,1948 Winter,Sankt Moritz,Alpine Skiing,Alpine Skiing Men's Slalom,NA
41089,2012 Summer,London,Athletics,Athletics Men's 20 kilometres Walk,NA
41090,1976 Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
41091,1964 Summer,Tokyo,Athletics,"Athletics Men's 5,000 metres",NA
41092,1964 Summer,Tokyo,Athletics,"Athletics Men's 10,000 metres",NA
41093,1992 Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Super G,NA
41094,1992 Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
41095,1994 Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Super G,NA
41096,1994 Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Slalom,NA
41097,1994 Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Combined,NA
41098,2008 Summer,Beijing,Athletics,Athletics Women's Marathon,NA
41099,1960 Summer,Roma,Athletics,Athletics Men's Pole Vault,NA
41100,1964 Summer,Tokyo,Athletics,Athletics Men's Pole Vault,NA
41101,1956 Summer,Melbourne,Boxing,Boxing Men's Bantamweight,NA
41102,2004 Summer,Athina,Athletics,Athletics Women's Discus Throw,NA
41103,2008 Summer,Beijing,Athletics,Athletics Women's Discus Throw,NA
41104,2012 Summer,London,Athletics,Athletics Women's Discus Throw,NA
41105,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's Discus Throw,NA
41106,2000 Summer,Sydney,Athletics,"Athletics Women's 5,000 metres",NA
41107,2004 Summer,Athina,Athletics,"Athletics Women's 1,500 metres",Silver
41108,2012 Summer,London,Athletics,"Athletics Women's 1,500 metres",NA
41109,2008 Summer,Beijing,Boxing,Boxing Men's Super-Heavyweight,NA
41110,1988 Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Super G,NA
41111,1988 Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Gold
41112,1988 Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Slalom,Gold
41113,1992 Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Gold
41114,1992 Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Slalom,Silver
41115,1994 Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
41116,1994 Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Slalom,Silver
41117,1998 Winter,Nagano,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
41118,1998 Winter,Nagano,Alpine Skiing,Alpine Skiing Men's Slalom,NA
41119,1996 Summer,Atlanta,Athletics,Athletics Women's 100 metres,NA
41120,1996 Summer,Atlanta,Athletics,Athletics Women's 4 x 100 metres Relay,NA
41121,1972 Summer,Munich,Boxing,Boxing Men's Featherweight,NA
