"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Croatia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.168,12.885,17.237,22.243,23.449,23.819,25.182,23.223,21.634,23.055,26.814,34.682,41.587,45.377,50.423,60.073,70.234,62.6,59.919,62.538,56.581,58.194,57.64,49.526,51.601,55.482,61.375,60.759,56.925,65.217,70.661,75.882,80.985,87.253,91.957
Cyprus,2.314,2.242,2.319,2.321,2.447,2.611,3.317,3.979,4.589,4.901,6.003,6.195,7.424,7.098,8.004,9.937,10.016,9.544,10.251,10.502,9.988,10.397,11.422,14.552,17.328,18.713,20.422,24.082,27.955,26.02,25.753,27.56,24.993,23.9,23.162,19.844,20.947,22.721,25.322,24.953,23.967,26.479,28.297,29.788,31.284,32.819,34.51
Czech Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,60.139,67.388,62.171,66.782,65.173,61.823,67.809,82.184,100.125,119.815,137.143,156.264,189.988,237.131,207.558,209.07,229.563,208.858,211.686,209.359,188.033,196.272,218.629,248.95,250.686,241.455,276.109,297.029,314.258,330.861,346.676,361.675
Côte d'Ivoire,13.877,11.501,10.32,9.312,9.284,9.47,12.675,13.944,14.092,13.487,14.923,14.504,15.416,15.268,11.492,15.205,16.78,16.203,17.433,17.114,14.851,15.485,17.147,21.205,22.924,23.625,24.628,28.158,33.621,33.693,34.431,35.529,37.03,43.228,48.882,45.815,47.964,51.588,58.011,58.539,61.402,70.991,77.334,83.564,90.214,97.251,104.696
Denmark,71.127,61.878,60.413,60.645,59.105,62.658,88.079,109.414,115.552,112.41,138.248,139.226,152.915,143.195,156.164,185.008,187.633,173.539,176.991,177.964,164.158,164.791,178.635,218.097,251.375,264.467,282.886,319.424,353.359,321.243,321.995,344.003,327.149,343.584,352.994,302.673,313.116,332.121,356.88,350.104,352.243,392.57,411.248,428.86,447.919,468.522,490.577
Djibouti,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.635,0.649,0.671,0.654,0.69,0.699,0.693,0.706,0.722,0.759,0.78,0.811,0.837,0.881,0.935,0.995,1.079,1.19,1.381,1.425,1.542,1.739,1.9,2.043,2.216,2.445,2.619,2.767,3.013,3.346,3.408,3.663,3.944,4.264,4.61,4.984,5.389
Dominica,0.073,0.082,0.09,0.099,0.109,0.119,0.135,0.152,0.171,0.185,0.201,0.22,0.234,0.246,0.264,0.275,0.292,0.303,0.322,0.332,0.333,0.34,0.333,0.343,0.367,0.364,0.39,0.421,0.458,0.489,0.494,0.501,0.486,0.502,0.524,0.541,0.575,0.522,0.53,0.579,0.517,0.523,0.565,0.599,0.629,0.656,0.68
Dominican Republic,8.672,9.698,9.141,9.461,14.87,6.496,7.891,8.305,7.605,8.589,7.995,9.887,11.605,13.081,14.645,16.637,18.242,20.017,21.672,22.137,24.306,25.602,27.249,21.518,22.506,35.948,37.998,44.067,48.206,48.319,53.921,58.088,60.747,62.758,67.264,71.254,75.777,80.082,85.63,89.032,78.731,83.917,90.05,96.66,103.623,111.179,119.319
Ecuador,16.84,17.243,17.214,15.129,16.101,18.83,13.816,12.91,12.277,12.049,12.236,13.73,15.012,17.537,21.147,22.968,24.035,27.009,27.474,19.74,18.319,24.468,28.549,32.433,36.592,41.507,46.802,51.008,61.763,62.52,69.555,79.277,87.925,95.13,101.726,99.29,99.938,104.296,107.562,108.108,96.665,100.595,103.874,106.806,110.131,113.905,118.046
Egypt,23.523,25.76,30.479,37.254,41.888,48.841,54.076,77.359,92.53,115.362,96.087,48.431,44.168,49.526,54.55,63.25,71.118,79.777,89.189,95.039,104.752,102.273,90.261,85.163,82.855,94.127,112.902,137.055,170.797,198.316,230.024,247.726,278.769,288.007,305.567,332.075,332.484,236.528,250.253,302.335,361.847,394.284,429.573,465.08,496.613,538.339,602.683
El Salvador,3.912,3.449,3.406,3.261,2.385,2.319,2.335,2.374,2.771,3.167,4.818,5.252,5.813,6.68,7.679,8.922,9.586,10.222,10.937,11.284,11.785,12.283,12.664,13.244,13.725,14.698,16,17.012,17.987,17.602,18.448,20.284,21.386,21.991,22.593,23.438,24.191,24.979,26.117,27.023,24.609,26.277,27.474,28.581,29.63,30.597,31.564
Equatorial Guinea,0.032,0.03,0.035,0.04,0.044,0.074,0.091,0.111,0.119,0.105,0.133,0.132,0.16,0.162,0.12,0.169,0.276,0.526,0.44,0.738,1.159,1.674,2.071,3.768,5.954,8.187,10.095,13.089,19.83,15.088,16.314,21.357,22.388,21.949,21.765,13.185,11.241,12.201,13.278,11.025,9.524,11.726,11.363,11.53,11.805,11.951,12.26
Eritrea,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.606,0.374,0.433,0.483,0.579,0.594,0.626,0.614,0.547,0.582,0.564,0.673,0.858,0.85,0.937,1.02,0.923,1.297,1.59,2.065,2.255,1.958,2.604,2.016,2.213,1.904,2.006,1.982,2.086,2.25,2.418,2.559,2.708,2.868,3.038
Estonia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.788,2.505,3.905,4.779,5.153,5.67,5.777,5.714,6.274,7.396,9.895,12.157,14.117,17.036,22.473,24.463,19.804,19.73,23.421,23.206,25.279,26.816,23.06,24.269,26.942,30.645,31.475,31.005,35.187,38.24,40.677,43.177,45.628,48.185
Eswatini,0.754,0.798,0.714,0.734,0.628,0.497,0.635,0.831,0.986,1.006,1.237,1.285,1.425,1.497,1.621,1.932,1.83,1.957,1.797,1.764,1.739,1.544,1.436,2.198,2.774,3.177,3.293,3.465,3.298,3.596,4.438,4.826,4.887,4.6,4.426,4.061,3.815,4.407,4.666,4.471,3.949,4.226,4.367,4.503,4.695,4.902,5.359
Ethiopia,7.385,7.578,7.973,8.863,8.375,9.808,10.188,10.89,11.285,11.872,12.595,13.928,14.696,9.143,8.135,7.887,8.794,8.621,7.815,7.515,8.167,8.103,7.828,8.604,10.122,12.387,15.31,19.329,26.25,28.672,26.887,30.48,42.221,46.544,54.165,63.081,72.12,76.841,80.207,92.608,96.611,93.966,92.907,101.965,113.619,125.51,138.804
