"GDP, current prices (Billions of U.S. dollars)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Puerto Rico,14.436,15.956,16.764,17.277,19.163,20.289,21.969,23.878,26.178,28.267,30.604,32.287,34.63,36.923,39.691,42.647,45.341,48.187,54.086,57.841,61.702,69.669,72.546,75.834,80.322,83.915,87.276,89.524,93.639,96.386,98.381,100.352,101.565,102.45,102.446,103.376,104.337,103.446,100.989,104.989,95.851,100.684,102.907,104.47,105.411,106.341,107.592
Qatar,6.665,7.374,6.467,5.506,5.708,5.339,4.214,4.441,4.26,4.502,6.266,5.579,6.384,5.804,5.946,6.861,7.761,9.976,8.488,11.266,18.085,17.498,19.334,23.716,30.651,44.636,58.629,75.987,112.621,88.196,119.707,167.775,186.834,198.728,206.225,161.74,151.732,161.099,183.335,175.838,146.09,166.031,174.381,178.282,183.595,190.777,198.84
Romania,46.053,55.319,55.375,48.401,39.111,48.286,52.29,58.477,60.538,54.236,38.516,29.07,19.779,26.624,30.376,35.838,35.692,35.644,42.543,35.953,37.281,40.395,46.065,57.806,74.974,98.454,122.024,174.589,214.317,174.102,166.309,183.326,170.636,190.8,199.961,177.731,188.13,211.696,241.456,249.695,247.214,289.13,316.339,339.749,362.8,386.575,410.819
Russian Federation,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1045.455,856.322,91.67,196.227,293.768,335.777,412.685,433.704,287.672,209.657,278.264,328.475,370.062,461.518,633.294,817.717,1060.901,1393.416,1779.109,1307.927,1633.111,2046.621,2191.484,2288.428,2048.836,1356.704,1280.648,1575.14,1653.006,1689.302,1473.583,1710.734,1777.102,1826.961,1879.532,1938.996,2004.145
Rwanda,1.259,1.429,1.525,1.629,1.56,1.853,2.1,2.331,2.495,2.605,2.491,1.837,1.95,1.881,1.195,1.239,1.343,1.808,1.931,1.797,1.718,1.676,1.673,1.847,2.099,2.59,3.327,4.082,5.201,5.694,6.148,6.911,7.687,7.852,8.272,8.585,8.734,9.253,9.629,10.123,10.372,10.633,11.288,12.426,13.62,14.917,16.133
Saint Kitts and Nevis,0.058,0.069,0.079,0.078,0.091,0.101,0.119,0.136,0.161,0.179,0.203,0.201,0.223,0.243,0.272,0.293,0.312,0.351,0.366,0.389,0.421,0.458,0.481,0.469,0.507,0.547,0.644,0.689,0.751,0.748,0.76,0.818,0.8,0.84,0.917,0.923,0.971,0.997,1.011,1.065,0.852,0.831,0.913,1,1.076,1.129,1.185
Saint Lucia,0.17,0.194,0.183,0.197,0.251,0.284,0.34,0.375,0.43,0.487,0.58,0.614,0.674,0.685,0.714,0.763,0.789,0.806,0.877,0.922,0.933,0.892,0.9,0.987,1.067,1.136,1.268,1.336,1.438,1.402,1.487,1.577,1.605,1.665,1.755,1.808,1.865,1.999,2.066,2.122,1.692,1.787,2.02,2.127,2.222,2.307,2.388
Saint Vincent and the Grenadines,0.082,0.102,0.114,0.122,0.135,0.146,0.161,0.176,0.201,0.215,0.24,0.255,0.278,0.286,0.289,0.316,0.331,0.348,0.374,0.391,0.396,0.43,0.462,0.482,0.522,0.551,0.611,0.684,0.695,0.675,0.681,0.676,0.693,0.721,0.728,0.755,0.774,0.792,0.811,0.825,0.787,0.798,0.854,0.9,0.946,0.991,1.038
Samoa,0.124,0.116,0.119,0.11,0.108,0.103,0.109,0.121,0.135,0.138,0.177,0.172,0.188,0.193,0.154,0.236,0.251,0.273,0.279,0.255,0.264,0.266,0.282,0.333,0.408,0.474,0.503,0.554,0.667,0.603,0.663,0.737,0.761,0.77,0.757,0.788,0.799,0.832,0.837,0.852,0.804,0.752,0.777,0.815,0.862,0.904,0.943
San Marino,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1.714,1.789,1.91,2.189,2.403,2.062,1.883,1.813,1.606,1.678,1.674,1.42,1.468,1.528,1.656,1.616,1.505,1.688,1.787,1.838,1.88,1.929,1.978
Saudi Arabia,164.54,184.291,153.24,129.181,119.631,103.894,86.886,85.582,88.138,95.217,117.473,132.047,136.905,132.791,134.995,143.152,158.451,165.742,146.775,161.717,189.515,184.137,189.606,215.808,258.742,328.206,376.398,415.687,519.797,429.098,528.207,671.239,735.975,746.647,756.35,654.27,644.936,688.586,786.522,792.967,701.467,804.921,827.133,854.717,889.176,923.844,966.264
Senegal,4.338,3.934,3.85,3.435,3.35,3.668,5.188,6.241,6.173,6.083,7.078,6.955,7.435,7.014,4.746,6.026,6.3,5.867,6.416,6.599,6.016,6.508,7.001,8.767,10.072,11.015,11.699,13.996,16.852,16.128,16.134,17.811,17.672,18.919,19.802,17.777,19.035,20.989,23.127,23.307,24.448,27.927,30.521,34.694,38.494,41.505,45.374
Serbia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,22.244,17.423,11.376,9.318,12.321,16.188,21.234,24.76,27.515,32.625,43.425,52.13,45.188,41.397,49.314,43.33,48.428,47.095,39.656,40.693,44.179,50.641,51.475,52.96,60.435,65.107,69.532,74.34,79.53,85.021
Seychelles,0.147,0.154,0.148,0.147,0.151,0.169,0.208,0.249,0.284,0.305,0.369,0.374,0.434,0.474,0.486,0.508,0.503,0.563,0.608,0.623,0.615,0.622,0.698,0.706,0.839,0.919,1.016,1.034,0.998,0.847,0.97,1.018,1.06,1.328,1.343,1.377,1.426,1.528,1.542,1.58,1.131,0.948,1.013,1.199,1.407,1.716,2.054
Sierra Leone,1.701,1.823,2.05,1.782,2.062,1.755,1.314,1.145,1.877,1.724,0.948,1.138,0.992,1.122,1.331,1.273,1.374,1.24,0.981,0.977,0.941,1.084,1.25,1.38,1.439,1.61,1.884,2.159,2.511,2.454,2.578,2.942,3.802,4.916,5.007,4.252,3.855,3.713,4.085,4.119,4.204,4.42,4.445,4.525,4.709,4.929,5.178
Singapore,12.082,14.367,15.879,18.011,19.563,18.573,18.78,21.629,26.551,31.436,38.892,45.465,52.131,60.604,73.689,87.813,96.293,100.124,85.728,86.287,96.077,89.794,92.538,97.646,115.034,127.808,148.627,180.942,193.617,194.15,239.808,279.357,295.093,307.576,314.864,307.999,318.753,343.332,375.963,374.39,339.981,374.394,391.912,410.34,429.361,448.79,469.257
Slovak Republic,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,13.726,15.837,20.034,21.659,21.927,22.825,20.867,20.73,21.421,24.888,34.085,43.19,49.116,57.492,77.239,97.17,89.302,90.473,99.235,94.589,98.878,101.351,88.512,89.691,95.461,105.75,105.091,104.088,117.664,127.347,135.459,143.038,150.566,157.657
Slovenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,19.271,16.626,16.845,21.384,21.516,20.805,22.168,22.77,20.393,20.901,23.539,29.673,34.448,36.261,39.514,48.073,55.773,50.513,48.248,51.575,46.607,48.416,50.01,43.112,44.754,48.569,54.186,54.18,52.838,59.132,63.576,67.066,70.529,73.862,77.185
Solomon Islands,0.183,0.194,0.193,0.181,0.182,0.166,0.148,0.155,0.176,0.173,0.215,0.228,0.269,0.301,0.403,0.469,0.511,0.527,0.458,0.488,0.42,0.41,0.346,0.353,0.398,0.477,0.539,0.62,0.699,0.736,0.847,1.05,1.191,1.285,1.338,1.311,1.381,1.458,1.566,1.579,1.567,1.644,1.805,1.975,2.123,2.258,2.399
Somalia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.499,3.611,3.892,3.964,4.049,4.198,4.509,4.721,4.944,4.92,5.367,5.641,5.941,6.268,6.633,7.046
South Africa,82.981,85.463,78.415,87.417,77.315,59.102,67.562,88.572,95.207,99.044,115.533,123.964,134.557,134.345,139.804,155.461,147.701,152.611,137.686,136.55,136.453,121.602,115.748,175.254,228.931,257.667,271.812,299.033,287.095,297.221,375.304,416.879,396.332,366.821,350.901,317.578,296.273,349.433,368.135,351.354,302.114,329.529,344.139,354.886,365.985,377.566,406.937
"South Sudan, Republic of",no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,17.186,11.267,14.947,15.383,14.801,3.501,3.495,4.659,4.143,4.074,4.461,5.345,5.659,6.026,6.067,6.881
Spain,230.759,204.588,197.643,172.856,172.381,181.62,251.304,318.389,374.068,412.59,535.652,576.446,630.122,529.319,531.137,613.946,640.026,589.376,618.414,635.968,598.628,627.834,708.256,907.264,1068.57,1154.354,1260.466,1474.176,1631.685,1489.853,1423.27,1480.45,1325.583,1355.162,1371.576,1195.721,1232.573,1312.076,1422.799,1393.644,1278.208,1461.552,1571.099,1644.73,1715.981,1769.026,1824.047
Sri Lanka,5.024,5.228,5.644,6.093,7.142,7.064,7.571,7.884,8.24,8.271,9.468,10.367,11.176,11.948,13.781,14.635,16.051,17.94,18.429,18.519,19.355,18.609,19.579,21.624,23.628,27.939,32.357,37.023,46.608,48.129,56.732,65.265,68.381,74.253,79.312,80.557,82.39,87.422,87.922,83.978,80.7,84.532,88.315,94.046,100.288,107.043,114.282
Sudan,9.095,6.53,4.748,6.485,7.992,5.547,7.4,11.964,9.551,16.853,2.245,2.528,3.1,5.246,5.961,6.694,8.377,10.241,10.924,10.714,13.134,15.716,18.137,21.355,26.646,35.183,45.264,59.44,64.833,54.812,65.716,66.448,48.948,52.892,60.726,64.536,64.883,47.837,35.891,33.564,34.37,35.827,35.917,36.745,37.976,39.556,41.245
Suriname,1.192,1.333,1.372,1.325,1.296,1.309,1.336,1.469,1.741,2.034,0.539,0.594,0.551,0.434,0.488,0.927,1.153,1.235,1.483,1.222,1.266,1.09,1.376,1.615,1.868,2.235,2.626,2.936,3.533,3.876,4.368,4.422,4.98,5.146,5.241,4.787,3.129,3.216,3.465,3.697,2.41,2.465,2.571,2.704,2.822,2.934,3.063
Sweden,140.384,128.148,113.059,103.89,108.255,113.249,149.633,181.991,205.883,216.691,259.9,272.205,283.228,212.953,229.034,267.307,291.746,268.146,270.81,274.071,262.834,242.395,266.848,334.337,385.119,392.219,423.091,491.255,517.706,436.536,495.813,574.094,552.484,586.842,581.964,505.104,515.655,541.019,555.455,531.283,537.61,625.948,661.242,695.331,730.118,767.053,806.044
Switzerland,122.701,112.293,114.856,114.512,109.596,111.242,159.381,199.367,215.521,208.386,266.214,269.391,279.957,272.079,301.353,353.295,340.775,295.263,303.79,298.199,279.946,287.554,310.611,363.391,405.059,420.153,443.889,493.925,570.096,558.109,602.899,721.703,692.405,713.254,734.73,702.214,695.457,704.772,736.433,732.187,747.427,824.734,874.157,905.181,949.873,988.213,1040.195
Syria,12.98,16.652,17.415,18.649,19.171,21.177,25.428,32.497,16.538,9.849,12.303,12.738,13.263,13.796,15.105,16.556,17.761,16.573,16.144,16.785,19.861,20.979,22.758,21.702,25.204,28.881,33.824,40.488,52.631,53.939,60.043,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
São Tomé and Príncipe,0.069,0.084,0.081,0.076,0.079,0.083,0.117,0.117,0.1,0.099,0.12,0.108,0.096,0.127,0.132,0.104,0.136,0.093,0.073,0.078,0.077,0.072,0.08,0.096,0.104,0.125,0.133,0.145,0.188,0.188,0.197,0.233,0.253,0.303,0.349,0.318,0.348,0.376,0.416,0.422,0.418,0.485,0.534,0.577,0.625,0.676,0.738
Taiwan Province of China,42.285,48.969,49.535,54.148,61.071,63.617,78.195,105.039,126.473,152.704,166.622,187.14,222.911,236.339,256.247,279.059,292.494,303.284,279.964,303.83,330.68,299.276,307.439,317.381,346.924,374.06,386.45,406.907,415.901,390.829,444.281,483.974,495.61,512.943,535.328,534.515,543.081,590.733,609.198,612.168,668.51,759.104,810.665,851.056,894.23,929.413,967.718
Tajikistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.291,0.678,0.829,0.569,1.052,1.121,1.32,1.087,0.991,1.057,1.212,1.555,2.073,2.311,2.811,3.712,5.135,4.977,5.642,6.523,7.592,8.506,9.242,7.857,6.953,7.144,7.52,8.117,7.997,7.825,8.301,8.756,9.243,9.776,10.294
Tanzania,10.873,13.005,14.932,15.294,13.915,12.556,15.874,7.821,7.474,6.444,5.172,6.019,5.588,5.17,5.478,6.382,7.889,9.341,11.481,11.777,12.369,12.61,13.125,14.159,15.576,17.174,18.867,21.807,27.762,28.985,31.533,34.067,39.651,45.681,50.002,47.384,49.774,53.227,56.699,60.81,63.244,65.919,70.068,74.344,79.243,84.843,90.822
Thailand,33.422,35.999,37.799,41.366,43.179,40.185,44.52,52.204,63.704,74.637,88.467,101.247,115.576,128.889,146.684,169.279,183.035,150.18,113.676,126.539,126.132,120.105,134.177,152.142,172.752,189.084,221.579,263.007,290.97,281.399,340.928,370.929,397.722,420.364,407.373,401.142,413.497,456.523,506.403,544.152,501.888,538.735,577.911,608.066,636.982,669.687,704.184
Timor-Leste,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.367,0.477,0.469,0.49,0.441,0.462,0.454,0.543,0.648,0.727,0.882,1.055,1.148,1.396,1.447,1.594,1.651,1.599,1.56,2.018,1.791,1.726,1.832,1.93,2.024,2.164,2.318
Togo,1.994,1.656,1.396,1.33,1.222,1.281,1.795,2.107,2.345,2.302,2.772,2.74,2.873,2.189,1.697,2.24,2.448,2.494,2.361,2.37,2.014,2,2.301,2.854,3.048,3.08,3.173,3.592,4.483,4.554,4.63,5.223,5.229,5.831,6.174,5.641,6.03,6.393,7.117,7.221,7.495,8.627,9.361,10.097,10.937,11.827,12.785
Tonga,0.071,0.079,0.079,0.077,0.081,0.076,0.09,0.098,0.115,0.139,0.144,0.169,0.178,0.183,0.189,0.207,0.218,0.222,0.212,0.197,0.203,0.181,0.183,0.202,0.231,0.262,0.292,0.299,0.344,0.312,0.367,0.415,0.471,0.451,0.44,0.437,0.421,0.46,0.486,0.517,0.514,0.508,0.542,0.573,0.6,0.625,0.649
Trinidad and Tobago,6.343,7.113,8.28,7.898,7.891,7.503,4.877,4.88,4.574,4.397,5.155,5.399,5.533,4.656,5.032,5.421,5.859,5.837,6.148,6.925,8.295,8.96,9.148,11.464,13.472,16.17,18.6,22.006,28.233,19.562,22.522,25.789,25.763,27.268,27.616,24.96,22.394,22.385,23.68,23.208,21.53,22.161,23.283,24.093,24.785,25.5,26.241
Tunisia,9.566,9.223,8.9,9.202,9.054,9.245,9.91,10.663,11.073,11.069,13.474,14.202,16.978,15.944,17.052,19.654,21.283,20.747,21.803,22.943,21.474,22.066,23.142,27.454,31.184,32.272,34.377,38.915,44.844,43.466,44.054,45.81,45.044,46.248,47.634,43.172,41.801,39.627,40.139,39.169,39.553,44.265,46.527,48.428,50.312,52.233,54.058
Turkey,96.596,97.865,88.918,84.968,82.642,92.827,102.337,118.926,125.032,147.727,207.508,208.402,219.176,248.573,179.359,233.566,250.486,261.857,275.834,256.566,274.321,202.248,240.191,314.752,409.127,506.186,555.126,680.489,770.82,648.797,776.558,838.508,880.141,957.504,938.512,864.071,869.28,858.932,779.599,760.94,719.537,794.53,868.44,953.982,1042.33,1149.239,1263.766
Turkmenistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.951,5.363,4.542,5.874,2.379,2.681,2.862,3.857,5.022,6.933,8.7,11.424,14.196,17.174,21.393,25.962,21.516,20.214,22.583,29.233,35.164,39.198,43.524,35.8,36.169,37.926,40.765,45.231,47.354,54.218,59.268,64.74,70.815,77.518,84.886
Tuvalu,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.014,0.013,0.016,0.018,0.022,0.022,0.023,0.027,0.031,0.027,0.031,0.038,0.037,0.037,0.037,0.035,0.04,0.043,0.046,0.047,0.048,0.057,0.061,0.066,0.071,0.076,0.081
Uganda,7.486,12.12,8.41,9.619,7.399,6.771,6.746,10.878,11.268,9.136,7.452,3.897,3.645,4.311,6.24,7.473,7.713,8.407,8.23,7.823,7.756,7.835,8.425,8.725,10.75,12.46,14.079,17.512,22.419,24.107,24.683,27.501,30.939,32.331,33.122,27.445,29.557,31.384,34.095,37.788,37.613,41.271,44.83,46.072,49.73,54.718,60.377
Ukraine,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,22.193,35.025,38.012,38.275,46.083,51.867,43.315,32.661,32.331,37.863,42.339,50.096,64.752,85.996,107.767,143.26,181.313,117.079,136.011,163.161,175.707,179.572,130.571,90.489,93.313,112.125,130.927,153.895,151.543,164.593,185.185,202.512,220.456,240.749,262.868
United Arab Emirates,40.415,45.002,41.848,38.345,38.012,37.31,29.568,32.466,32.999,38.09,49.09,49.821,52.208,53.438,57.45,63.637,70.991,76.171,73.394,82.865,103.893,103.312,109.816,124.346,147.824,180.617,222.117,257.916,315.475,253.547,289.787,350.666,374.591,390.108,403.137,358.135,357.045,385.605,422.215,421.142,354.279,401.513,409.757,419.354,432.163,447.69,465.402
United Kingdom,603.983,587.652,558.72,532.476,504.571,536.938,655.086,813.006,989.57,1007.448,1193.691,1247.882,1289.065,1154.118,1239.716,1341.878,1416.838,1558.529,1651.775,1682.59,1661.335,1639.079,1782.892,2052.787,2413.134,2535.643,2709.826,3094.593,2952.326,2421.024,2484.017,2660.794,2704.498,2785.062,3067.117,2933.433,2703.242,2664.705,2860.982,2833.301,2710.97,3124.65,3340.838,3490.266,3660.58,3838.707,4027.862
United States,2857.325,3207.025,3343.8,3634.025,4037.65,4339,4579.625,4855.25,5236.425,5641.6,5963.125,6158.125,6520.325,6858.55,7287.25,7639.75,8073.125,8577.55,9062.825,9630.7,10252.35,10581.825,10936.45,11458.25,12213.725,13036.625,13814.6,14451.875,14712.825,14448.925,14992.05,15542.6,16197.05,16784.825,17527.275,18238.3,18745.1,19542.975,20611.875,21433.225,20932.75,22675.271,24003.704,24892.611,25790.123,26719.625,27659.15
Uruguay,12.165,13.578,11.1,6.093,5.794,5.662,7.029,8.794,9.098,9.589,11.156,13.445,15.451,17.999,20.965,23.152,24.613,26.044,27.587,26.066,24.804,22.712,14.809,13.109,14.892,18.901,21.314,25.486,32.988,34.395,43.763,52.103,55.692,62.499,62.178,57.874,57.237,64.234,64.765,62.212,55.711,55.459,58.497,61.091,63.702,66.417,69.117
Uzbekistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.361,6.742,7.991,12.459,16.47,17.395,17.683,20.16,16.227,13.76,11.424,11.982,14.198,16.929,20.142,26.389,33.84,39.583,46.686,56.549,63.631,69.008,76.661,81.34,81.323,58.147,50.378,57.726,57.706,61.203,67.144,74.428,82.875,91.964,102.168
Vanuatu,0.121,0.114,0.114,0.117,0.144,0.132,0.128,0.139,0.158,0.154,0.169,0.201,0.209,0.2,0.234,0.249,0.261,0.273,0.262,0.268,0.272,0.257,0.262,0.315,0.365,0.39,0.435,0.517,0.582,0.59,0.652,0.738,0.736,0.755,0.774,0.744,0.775,0.88,0.928,0.924,0.864,0.912,0.974,1.034,1.091,1.151,1.209
Venezuela,69.841,78.367,79.998,79.672,57.826,59.865,60.877,46.854,60.378,44.672,48.391,53.382,60.4,59.865,58.357,77.427,70.536,85.684,91.836,97.517,117.596,123.119,95.258,83.684,112.254,143.375,178.521,232.857,306.764,268.624,318.281,352.54,352.191,258.993,203.822,323.595,279.249,143.841,98.4,63.96,47.255,42.53,40.403,no data,no data,no data,no data
Vietnam,35.357,17.617,23.369,35.204,61.171,19.045,43.009,53.385,29.501,7.991,8.217,9.704,12.528,16.736,20.712,26.407,31.352,34.146,34.58,36.444,39.585,41.297,44.563,50.233,62.877,73.197,84.301,98.429,124.774,129.054,143.257,171.368,195.168,212.738,232.893,236.84,252.149,277.074,304.016,329.537,340.821,354.868,389.746,428.124,471.42,517.265,567.262
West Bank and Gaza,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.843,3.283,3.41,3.76,4.068,4.271,4.314,4.004,3.556,3.968,4.603,5.126,5.348,5.816,7.31,8.086,9.682,11.186,12.208,13.516,13.99,13.972,15.405,16.128,16.277,17.134,15.519,16.481,17.886,18.831,19.559,20.245,20.955
Yemen,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.644,14.665,17.959,21.737,28.019,12.796,6.496,6.838,6.322,7.639,9.679,9.853,10.693,11.778,13.868,16.732,19.063,21.651,26.911,25.13,30.907,32.726,35.401,40.415,43.229,42.445,30.934,26.736,23.486,22.568,20.14,25.095,25.826,29.102,30.772,32.669,34.334
Zambia,4.246,4.385,4.232,3.653,3.003,2.848,1.962,2.431,4.095,4.365,4.085,3.69,3.614,3.549,3.657,3.799,3.599,4.303,3.538,3.405,3.601,4.094,4.194,4.902,6.221,8.329,12.762,14.06,17.914,15.332,20.264,23.455,25.502,28.042,27.145,21.245,20.965,25.874,26.312,23.309,18.529,18.955,19.083,19.587,20.294,21.032,21.813
Zimbabwe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.144,9.45,7.793,7.569,7.959,8.263,10.117,10.386,12.099,11.769,11.34,11.244,10.735,9.574,9.465,9.046,8.141,7.785,6.707,9.666,12.042,14.102,17.115,19.091,19.496,19.963,20.054,21.89,21.093,19.273,21.038,26.085,29.363,29.319,29.979,30.88,32.042
Africa (Region),452.24,461.543,468.331,448.236,390.481,385.067,422.833,473.314,502.227,541.331,631.832,580.502,580.415,581.935,569.858,677.23,758.351,787.364,797.469,655.665,676.369,656.061,670.206,803.774,963.063,1133.907,1311.99,1533.243,1791.001,1698.207,1991.447,2225.021,2378.153,2459.831,2544.185,2316.077,2201.772,2219.182,2366.299,2432.273,2349.432,2600.606,2794.268,3004.041,3230.361,3484.135,3800.461
Asia and Pacific,2332.04,2515.656,2447.025,2600.974,2758.311,2811.579,3587.104,4261.222,5086.469,5286.103,5513.091,6074.624,6655.377,7492.899,8122.094,9227.68,9007.611,8664.312,7836.047,8709.262,9327.01,8700.03,8933.037,9967.323,11245.783,12158.926,13011.981,14874.086,16835.802,17310.897,20225.246,23268.526,24721.99,25100.417,26017.388,25801.717,26858.287,28791.79,30889.752,31739.082,31633.708,35235.257,37809.837,40522.267,43207.311,46029.384,49001.661
Australia and New Zealand,185.148,211.506,209.914,201.604,219.123,196.575,208.537,249.639,316.037,351.782,369.171,367.23,359,353.552,405.437,440.349,492.606,494.425,437.392,469.908,453.24,429.821,486.472,622.03,758.312,847.262,890.987,1082.727,1190.867,1120.684,1397.141,1680.628,1744.362,1705.532,1657.528,1411.016,1452.23,1589.012,1631.13,1601.76,1568.656,1860.875,1946.929,2038.438,2128.108,2223.229,2327.226
Caribbean,18.04,19.73,21.79,21.715,21.724,22.172,21.14,20.014,20.379,21.932,22.378,22.243,21.98,22.685,25.795,31.501,34.013,36.762,39.51,42.114,44.253,44.645,46.315,47.976,52.963,59.834,65.302,73.805,83.429,73.021,78.424,85.275,88.332,90.597,91.988,90.511,86.046,88.617,93.93,93.728,83.939,95.884,103.373,110.276,115.253,119.87,124.586
Central America,34.6,34.871,35.303,37.123,44.212,38.356,37.626,37.249,35.512,39.978,36.454,45.663,51.857,56.71,62.199,69.247,74.07,80.813,87.502,88.669,93.947,99.204,104.624,102.507,109.643,131.505,144.065,163.986,184.679,184.562,205.446,230.663,248.755,263.767,281.266,301.14,317.758,336.286,349.055,360.938,330.638,350.595,370.204,392.095,416.576,442.95,471.711
Central Asia and the Caucasus,96.596,97.865,88.918,84.968,82.642,92.827,102.337,118.926,125.032,147.727,207.508,208.402,229.872,269.316,209.465,276.265,301.167,316.198,331.344,309.093,326.549,258.579,304.236,391.205,507.633,633.115,725.612,906.519,1053.984,909.643,1094.052,1238.766,1318.22,1440.828,1421.935,1276.705,1219.339,1224.712,1161.445,1160.21,1094.669,1211.349,1312.171,1429.749,1551.398,1694.557,1849.669
East Asia,1570.606,1688.818,1605.847,1749.452,1854.839,1941.969,2662.531,3220.446,3933.402,4048.656,4123.182,4680.62,5165.019,5912.52,6417.057,7268.589,6847.821,6503.051,5955.527,6692.371,7254.014,6726.259,6751.081,7359.829,8153.487,8614.406,8991.765,9930.618,11374.048,11931.686,13616.558,15721.721,16860.399,17009.227,17744.709,17880.148,18605.194,19762.63,21588.193,22127.993,22433.488,24969.131,26767.616,28645.695,30476.663,32372.957,34348.258
Eastern Europe ,160.124,169.825,183.443,185.514,177.958,176.996,183.502,186.925,218.547,212.447,1208.372,1004.597,321.526,458.489,598.648,771.305,891.164,936.865,816.625,702.933,764.921,866.67,979.439,1195.045,1523.041,1865.682,2262.938,2925.98,3656.685,2860.02,3234.367,3824.783,3881.07,4069.923,3827.885,2884.501,2834.608,3306.83,3604.115,3692.987,3441.394,3905.85,4161.23,4378.544,4595.528,4825.027,5067.41
Europe,4007.285,3607.257,3492.48,3403.255,3269.427,3385.193,4557.736,5597.842,6264.559,6364.686,8844.635,9127.947,9153.62,8481.872,9111.659,10530.949,10832.63,10287.242,10461.535,10357.6,9737.64,9899.277,10827.03,13145.187,15270.494,16176.537,17490.864,20399.762,22419.84,19694.778,20013.001,22027.755,21091.027,21982.134,22334.66,19182.748,19191.366,20390.537,21993.816,21658.336,20812.84,23614.328,25154.069,26176.145,27211.6,28239.024,29317.092
Middle East (Region),402.931,435.946,415.674,427.333,428.823,419.619,427.769,521.287,540.325,612.001,886.518,616.41,399.506,422.833,471.092,530.426,610.919,656.383,659.729,772.857,958.654,896.118,721.879,806.89,971.082,1184.024,1394.989,1656.478,2074.05,1828.422,2161.364,2580.734,2569.655,2683.747,2762.91,2396.499,2402.7,2590.059,2831.889,2974.552,2715.616,3041.659,3168.239,3288.407,3419.955,3559.388,3716.839
North Africa,136.375,130.856,135.728,142.243,147.289,163.702,169.372,195.527,206.281,232.288,232.278,175.496,178.432,179.009,178.428,196.689,218.187,224.38,230.945,244.435,258.104,252.655,232.874,258.731,291.987,339.275,387.91,457.679,553.065,522.541,597.476,627.156,710.897,702.732,701.354,659.621,656.193,586.256,625.288,672.107,681.038,738.278,783.445,829.631,872,926.823,1004.849
North America,3376.402,3823.836,3888.28,4166.879,4618.401,4942.861,5131.122,5477.326,5973.909,6483.171,6880.22,7151.065,7553.064,7975.327,8434.664,8648.434,9160.037,9781.163,10277.437,10967.182,11766.592,12147.155,12541.255,13159.018,14102.764,15171.521,16196.615,17062.992,17469.316,16821.867,17765.577,18616.766,19328.071,20008.314,20750.828,21070.054,21455.926,22454.599,23657.032,24548.659,23748.173,25851.922,27388.315,28447.858,29507.782,30606.338,31728.164
Pacific Islands ,5.931,5.896,5.644,5.54,5.342,4.995,5.439,5.71,7.232,7.168,6.954,7.912,9.017,10.046,11.088,10.501,11.223,10.901,8.629,8.454,8.219,7.507,7.528,9.291,10.736,12.311,13.594,15.356,17.923,17.1,20.338,25.201,28.947,29.246,31.556,29.858,29.243,31.914,33.709,34.395,31.839,33.168,34.381,35.616,37.493,39.357,42.354
South America,581.546,584.403,494.949,463.925,454.685,500.789,564.945,599.354,667.738,731.262,812.285,834.012,892.114,963.522,1146.873,1434.166,1539.293,1636.544,1616.354,1303.975,1378.632,1266.924,996.982,1073.886,1298.036,1657.832,2016.222,2507.444,3046.026,2935.669,3765.676,4441.468,4430.712,4431.959,4304.928,3721.371,3588.058,3899.393,3642.571,3468.582,2825.241,3018.919,3242.975,3457.535,3689.862,3899.962,4109.147
